127.0.0.1 - - [02/Apr/2025:09:36:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:48:47 +0900] "GET /html/images/forest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:48:48 +0900] "GET /html/ch02/background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:48:52 +0900] "GET /html/images/link.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:49:07 +0900] "GET /html/images/link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:49:41 +0900] "GET /html/images/link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:56:33 +0900] "GET /html/ch02/list.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:57:02 +0900] "GET /html/ch02/list.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:57:29 +0900] "GET /html/ch02/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:57:31 +0900] "GET /html/ch02/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:57:33 +0900] "GET /html/ch02/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:57:34 +0900] "GET /html/ch02/list.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [02/Apr/2025:11:13:22 +0900] "GET /html/ch02/list2.html HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [02/Apr/2025:11:28:03 +0900] "GET /html/ch02/table.html HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [02/Apr/2025:11:28:14 +0900] "GET /html/ch02/table.html HTTP/1.1" 304 -
